num,execution,time,res
90,1,2.3300000000003873e-05,2880067194370816120
90,2,2.2000000000022002e-05,2880067194370816120
90,3,2.180000000001625e-05,2880067194370816120
90,4,2.2199999999972242e-05,2880067194370816120
90,5,2.049999999997887e-05,2880067194370816120
90,6,1.8999999999991246e-05,2880067194370816120
90,7,2.0599999999981744e-05,2880067194370816120
90,8,1.8499999999976868e-05,2880067194370816120
90,9,2.0600000000037255e-05,2880067194370816120
90,10,2.8399999999983994e-05,2880067194370816120
