num,execution,time,res
60,1,1.979999797185883e-05,1548008755920
60,2,1.5899997379165143e-05,1548008755920
60,3,1.6499998309882358e-05,1548008755920
60,4,1.559999873279594e-05,1548008755920
60,5,2.7800000680144876e-05,1548008755920
60,6,9.69999746303074e-06,1548008755920
60,7,1.7499998648418114e-05,1548008755920
60,8,9.69999746303074e-06,1548008755920
60,9,9.499999578110874e-06,1548008755920
60,10,1.049999991664663e-05,1548008755920
num,execution,time,res
60,1,1.1000000000038757e-05,1548008755920
60,2,1.489999999998437e-05,1548008755920
60,3,1.2100000000014877e-05,1548008755920
60,4,1.3199999999990997e-05,1548008755920
60,5,1.2799999999979494e-05,1548008755920
60,6,1.0300000000018628e-05,1548008755920
60,7,3.310000000000812e-05,1548008755920
60,8,1.2200000000017752e-05,1548008755920
60,9,1.3399999999996748e-05,1548008755920
60,10,1.3399999999996748e-05,1548008755920
